"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2026-03-15 09:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-15 09:00",,,,,"Pee:medium",
"Diaper","2026-03-15 07:40",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-15 07:21",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-15 07:03",,,,,"Pee:large",
"Feed","2026-03-15 05:35",,,"Formula","Bottle","2oz",
"Feed","2026-03-15 02:06",,,"Formula","Bottle","3oz",
"Diaper","2026-03-15 02:05",,,,,"Pee:medium",
"Feed","2026-03-14 21:43",,,"Formula","Bottle","4oz",
"Diaper","2026-03-14 21:30",,,,,"Pee:medium",
"Feed","2026-03-14 19:30",,,"Formula","Bottle","1oz",
"Diaper","2026-03-14 18:30",,,,,"Pee:medium",
"Feed","2026-03-14 18:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-14 16:37",,,"Formula","Bottle","2oz",
"Diaper","2026-03-14 16:11",,,,,"Pee:large",
"Diaper","2026-03-14 14:45",,,,,"Pee:medium",
"Feed","2026-03-14 14:30",,,"Formula","Bottle","3oz",
"Feed","2026-03-14 12:23",,,"Formula","Bottle","1oz",
"Feed","2026-03-14 11:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-14 09:00",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-03-14 08:15",,,"Formula","Bottle","3oz",
"Feed","2026-03-14 05:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-14 05:22",,,,,"Pee:large",
"Feed","2026-03-14 01:45",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-14 01:30",,,,,"Pee:medium",
"Feed","2026-03-13 21:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-13 21:37",,,,,"Pee:large",
"Feed","2026-03-13 19:05",,,"Formula","Bottle","2oz",
"Diaper","2026-03-13 17:08",,"yellow",,,"Poo:medium",
"Feed","2026-03-13 16:32",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-13 16:10",,,,,"Pee",
"Growth","2026-03-13 13:44",,,"8.31lbs.oz","1.67ft.in","35cm",
"Feed","2026-03-13 13:16",,,"Formula","Bottle","4oz",
"Diaper","2026-03-13 13:00",,,,,"Pee:small",
"Diaper","2026-03-13 11:12",,,,,"Pee:medium",
"Feed","2026-03-13 10:27",,,"Formula","Bottle","3oz",
"Diaper","2026-03-13 09:43",,,,,"Pee:large",
"Diaper","2026-03-13 08:20",,"yellow",,,"Both, pee:medium poo:medium",
"Feed","2026-03-13 07:35",,,"Formula","Bottle","3oz",
"Diaper","2026-03-13 05:14",,"yellow","Loose",,"Both, pee:medium poo:large",
"Feed","2026-03-13 04:45",,,"Formula","Bottle","3oz",
"Feed","2026-03-13 01:27",,,"Formula","Bottle","3oz",
"Diaper","2026-03-13 01:22",,,,,"Pee",
"Feed","2026-03-12 22:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-12 22:15",,,,,"Pee:large",
"Diaper","2026-03-12 19:10",,,,,"Pee:large",
"Feed","2026-03-12 18:15",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-12 16:07",,,,,"Pee:medium",
"Feed","2026-03-12 16:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-12 13:05",,,"Formula","Bottle","3.5oz",
"Feed","2026-03-12 10:37",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-12 10:10",,"yellow","Loose",,"Poo:medium",
"Diaper","2026-03-12 08:00",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-12 07:27",,,"Formula","Bottle","2.5oz",
"Feed","2026-03-12 05:14",,,"Formula","Bottle","2oz",
"Diaper","2026-03-12 05:09",,,,,"Pee:large",
"Diaper","2026-03-12 01:40",,,,,"Pee:medium",
"Feed","2026-03-12 01:40",,,"Formula","Bottle","3.5oz",
"Feed","2026-03-11 22:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 22:20",,,,,"Pee:large",
"Feed","2026-03-11 19:00",,,"Formula","Bottle","1.5oz",
"Feed","2026-03-11 17:10",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 17:07",,,,,"Pee:large",
"Feed","2026-03-11 14:29",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 14:27",,,,,"Pee:large",
"Diaper","2026-03-11 11:32",,,,,"Pee:large",
"Feed","2026-03-11 11:29",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 08:36",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-11 08:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 08:02",,,,,"Pee:large",
"Feed","2026-03-11 05:20",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 05:14",,,,,"Pee:large",
"Feed","2026-03-11 01:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-11 01:45",,,,,"Pee:medium",
"Feed","2026-03-10 22:41",,,"Formula","Bottle","3oz",
"Diaper","2026-03-10 22:30",,,,,"Pee:medium",
"Feed","2026-03-10 18:23",,,"Formula","Bottle","4oz",
"Diaper","2026-03-10 18:18",,,,,"Pee:large",
"Diaper","2026-03-10 16:00",,,,,"Pee:medium",
"Feed","2026-03-10 15:40",,,"Formula","Bottle","3oz",
"Feed","2026-03-10 12:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-10 12:36",,,,,"Pee:small",
"Feed","2026-03-10 09:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-10 09:10",,,,,"Pee:medium",
"Feed","2026-03-10 08:53",,,"Formula","Bottle","1oz",
"Feed","2026-03-10 07:21",,,"Formula","Bottle","2oz",
"Diaper","2026-03-10 07:11",,,,,"Pee:medium",
"Diaper","2026-03-10 04:45",,"yellow",,,"Poo:medium",
"Feed","2026-03-10 04:21",,,"Formula","Bottle","3oz",
"Diaper","2026-03-10 04:20",,,,,"Pee:medium",
"Diaper","2026-03-10 01:15",,"brown","Loose",,"Poo:medium",
"Feed","2026-03-10 00:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-10 00:30",,,,,"Pee:large",
"Feed","2026-03-09 21:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-09 21:30",,,,,"Pee:large",
"Feed","2026-03-09 18:26",,,"Formula","Bottle","3oz",
"Feed","2026-03-09 16:09",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-09 16:06",,,,,"Pee:large",
"Feed","2026-03-09 15:29",,,"Formula","Bottle","3oz",
"Feed","2026-03-09 12:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-09 12:25",,,,,"Pee:large",
"Feed","2026-03-09 10:30",,,"Formula","Bottle","1.75oz",
"Diaper","2026-03-09 08:49",,"yellow","Runny",,"Poo:large",
"Feed","2026-03-09 08:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-09 08:24",,,,,"Pee:medium",
"Diaper","2026-03-09 05:58",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-09 05:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-09 05:29",,,,,"Pee:medium",
"Feed","2026-03-09 01:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-09 01:38",,,,,"Pee:medium",
"Feed","2026-03-08 21:39",,,"Formula","Bottle","3oz",
"Diaper","2026-03-08 21:30",,"brown","Loose",,"Both, pee:large poo:medium",
"Feed","2026-03-08 19:19",,,"Formula","Bottle","3oz",
"Diaper","2026-03-08 19:01",,,,,"Pee",
"Diaper","2026-03-08 17:15",,,,,"Pee:medium",
"Feed","2026-03-08 17:13",,,"Formula","Bottle","3oz",
"Diaper","2026-03-08 14:46",,,,,"Pee",
"Feed","2026-03-08 14:04",,,"Formula","Bottle","3oz",
"Diaper","2026-03-08 11:41",,,,,"Pee:large",
"Feed","2026-03-08 11:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-08 09:13",,"brown",,,"Both, pee:medium poo:medium",
"Feed","2026-03-08 09:12",,,"Formula","Bottle","2oz",
"Feed","2026-03-08 07:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-08 07:12",,,,,"Pee:large",
"Diaper","2026-03-08 04:22",,"brown","Loose",,"Both, pee:large poo:large",
"Feed","2026-03-08 04:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-07 23:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-07 23:20",,,,,"Pee:medium",
"Feed","2026-03-07 19:45",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-07 18:50",,,,,"Pee:large",
"Feed","2026-03-07 17:45",,,"Formula","Bottle","2oz",
"Diaper","2026-03-07 17:05",,,,,"Pee:medium",
"Feed","2026-03-07 16:15",,,"Formula","Bottle","3oz",
"Feed","2026-03-07 13:27",,,"Formula","Bottle","2oz",
"Diaper","2026-03-07 13:15",,,,,"Pee:medium",
"Feed","2026-03-07 10:56",,,"Formula","Bottle","2oz",
"Diaper","2026-03-07 10:50",,,,,"Pee:large",
"Feed","2026-03-07 09:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-07 08:52",,,,,"Pee:medium",
"Diaper","2026-03-07 07:28",,,,,"Pee",
"Feed","2026-03-07 06:50",,,"Formula","Bottle","3.5oz",
"Feed","2026-03-07 04:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-07 04:10",,,,,"Pee:large",
"Feed","2026-03-07 00:39",,,"Formula","Bottle","3oz",
"Diaper","2026-03-07 00:30",,"brown",,,"Both, pee:medium poo:small",
"Feed","2026-03-06 21:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 20:45",,,,,"Pee:large",
"Feed","2026-03-06 18:13",,,"Formula","Bottle","2.25oz",
"Diaper","2026-03-06 18:10",,,,,"Pee:large",
"Feed","2026-03-06 17:16",,,"Formula","Bottle","1oz",
"Diaper","2026-03-06 15:47",,,,,"Poo:large",
"Feed","2026-03-06 15:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 15:04",,,,,"Pee:large",
"Feed","2026-03-06 12:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 10:36",,,,,"Pee:large",
"Feed","2026-03-06 10:10",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 08:21",,,,,"Both, pee:medium poo:medium",
"Feed","2026-03-06 07:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 07:37",,"yellow",,,"Both, pee:large poo:medium",
"Feed","2026-03-06 04:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-06 04:38",,,,,"Pee",
"Feed","2026-03-06 01:30",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-06 01:25",,,,,"Pee:small",
"Diaper","2026-03-05 22:10",,,,,"Poo:large",
"Feed","2026-03-05 21:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-05 19:55",,,,,"Pee:large",
"Feed","2026-03-05 17:44",,,"Formula","Bottle","3oz",
"Diaper","2026-03-05 17:04",,,,,"Both, pee:medium poo:medium",
"Feed","2026-03-05 16:07",,,"Formula","Bottle","1oz",
"Feed","2026-03-05 14:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-05 14:00",,,,,"Pee:medium",
"Feed","2026-03-05 11:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-05 10:14",,"yellow",,,"Poo:medium",
"Feed","2026-03-05 09:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-05 09:13",,,,,"Pee:small",
"Diaper","2026-03-05 09:13",,,,,"Both, pee:medium poo:large",
"Diaper","2026-03-05 07:51",,,,,"Poo:large",
"Feed","2026-03-05 07:30",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-05 06:09",,,,,"Both, pee:large poo:small",
"Feed","2026-03-05 05:45",,,"Formula","Bottle","2oz",
"Diaper","2026-03-05 03:14",,,,,"Pee:medium",
"Feed","2026-03-05 02:50",,,"Formula","Bottle","2oz",
"Feed","2026-03-04 22:55",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 22:45",,,,,"Pee:large",
"Feed","2026-03-04 20:22",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 18:54",,,,,"Both, pee:medium poo:medium",
"Feed","2026-03-04 18:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 15:38",,,,,"Both, pee:large poo:large",
"Feed","2026-03-04 15:15",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 12:40",,,,,"Both, pee:large poo:small",
"Feed","2026-03-04 12:10",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 10:10",,,,,"Pee:large",
"Feed","2026-03-04 09:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-04 07:58",,,,,"Both, pee:large poo:large",
"Feed","2026-03-04 07:28",,,"Formula","Bottle","3oz",
"Feed","2026-03-04 04:55",,,"Formula","Bottle","0.75oz",
"Diaper","2026-03-04 04:37",,"brown","Loose",,"Poo:large",
"Feed","2026-03-04 04:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-04 04:10",,,,,"Pee:large",
"Feed","2026-03-04 01:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-04 00:50",,,,,"Pee:large",
"Feed","2026-03-03 21:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 21:30",,,,,"Pee:large",
"Feed","2026-03-03 18:35",,,"Formula","Bottle","3oz",
"Feed","2026-03-03 16:16",,,"Formula","Bottle","2oz",
"Diaper","2026-03-03 15:45",,"yellow",,,"Both, pee:large poo:small",
"Feed","2026-03-03 15:20",,,"Formula","Bottle","2oz",
"Feed","2026-03-03 14:00",,,"Formula","Bottle","1oz",
"Diaper","2026-03-03 12:15",,"yellow",,,"Poo:large",
"Feed","2026-03-03 12:05",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 09:39",,"yellow",,,"Poo:large",
"Feed","2026-03-03 09:12",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 09:06",,"yellow",,,"Both, pee:medium poo:small",
"Feed","2026-03-03 06:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 06:30",,,,,"Pee:medium",
"Feed","2026-03-03 03:40",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 03:30",,,,,"Both, pee:medium poo:medium",
"Feed","2026-03-03 00:21",,,"Formula","Bottle","3oz",
"Diaper","2026-03-03 00:15",,,,,"Both, pee:small poo:small",
"Diaper","2026-03-02 21:40",,,,,"Pee:medium",
"Feed","2026-03-02 20:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-02 18:30",,"yellow",,,"Both, pee:large poo:medium",
"Feed","2026-03-02 18:20",,,"Formula","Bottle","2oz",
"Feed","2026-03-02 16:46",,,"Formula","Bottle","1oz",
"Diaper","2026-03-02 16:03",,,,,"Both, pee:medium poo:medium",
"Feed","2026-03-02 15:15",,,"Formula","Bottle","3oz",
"Diaper","2026-03-02 13:16",,,,,"Pee:large",
"Feed","2026-03-02 12:15",,,"Formula","Bottle","3oz",
"Feed","2026-03-02 09:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-02 09:20",,,,,"Pee:medium",
"Feed","2026-03-02 07:50",,,"Formula","Bottle","1oz",
"Feed","2026-03-02 07:10",,,"Formula","Bottle","1oz",
"Diaper","2026-03-02 06:35",,"yellow",,,"Poo:medium",
"Feed","2026-03-02 06:05",,,"Formula","Bottle","2oz",
"Diaper","2026-03-02 06:00",,,,,"Both, pee:large",
"Diaper","2026-03-02 02:25",,,,,"Both, pee:large poo:medium",
"Feed","2026-03-02 02:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-01 22:05",,,"Formula","Bottle","3oz",
"Diaper","2026-03-01 21:45",,,,,"Pee:large",
"Feed","2026-03-01 20:15",,,"Formula","Bottle","2oz",
"Diaper","2026-03-01 18:46",,,,,"Both, pee:large poo:small",
